
U	S3028703	1F/5F	1,142萬元	1,142萬元	30年	1房0廳	22.84坪	22.84坪	無	新北市三重區-自強路二段	[獨賣]厚德國小門前可停車大壹樓	Sun Apr 10 10:09:40 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3028703	=HYPERLINK(N33)	
N	S2958993	10F/12F	1,188萬元	1,188萬元	22年	2房2廳	22.9坪	22.9坪	無	新北市三重區-福德南路	台北橋華廈2房	Sun Apr 10 10:15:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2958993	=HYPERLINK(N34)	
U	S3006188	2F/10F	1,200萬元	1,200萬元	7年	2房2廳	32.31坪	32.31坪	平面式停車位，已含售金內	台北High客 新北市三重區-集仁街	（４２）台北駭客小豪宅	Sun Apr 10 10:09:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3006188	=HYPERLINK(N35)	
U	S2944946	6F/7F	1,180萬元	1,180萬元	2年	2房2廳	27.81坪	27.81坪	機械式停車位，已含售金內	樹學園 新北市三重區-中正北路	樹學園獨戶電梯2房車(稀有面公園)	Sun Apr 10 10:09:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2944946	=HYPERLINK(N36)	
U	S3041380	13F/27F	1,198萬元	1,198萬元	18年	3房2廳	26.63坪	26.63坪	無	佳昌 新北市三重區-成功路	中興橋景觀3房	Sun Apr 10 10:09:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3041380	=HYPERLINK(N37)	
U	S3045456	1F/4F	1,198萬元	1,198萬元	38年	開放式格局	20.26坪	20.26坪	無	新北市三重區-大同北路	大同好停車一樓	Sun Apr 10 10:09:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3045456	=HYPERLINK(N38)	
U	S2959067	3F/7F	1,180萬元	1,180萬元	17年	3房2廳	37.82坪	37.82坪	機械式停車位，已含售金內	* 新北市三重區-力行路一段	修德國小3房車(83)	Sun Apr 10 10:09:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2959067	=HYPERLINK(N39)	
U	S3022084	2F/15F	1,050萬元	1,050萬元	1年	2房1廳	25.04坪	25.04坪	無	新北市三重區-仁政街	全新仁政電梯方正大樓	Sun Apr 10 10:09:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3022084	=HYPERLINK(N40)	
U	S3049912	2F/13F	898萬元	898萬元	4年	1房1廳	25.03坪	25.03坪	平面式停車位，已含售金內	合康 新北市三重區-集仁街	置產收租&amp;自住小資套房車	Sun Apr 10 10:09:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3049912	=HYPERLINK(N41)	
U	S3012207	2F/15F	1,160萬元	1,160萬元	1年	2房1廳	25.04坪	25.04坪	無	新北市三重區-仁政街	全新電梯2房(93)	Sun Apr 10 10:10:03 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3012207	=HYPERLINK(N42)	
U	S2942732	7F/13F	1,098萬元	1,098萬元	3年	1房1廳	21.29坪	21.29坪	無	摩宿 新北市三重區-中正南路	摩宿最低單價~近捷運菜寮站~可遠眺101	Sun Apr 10 10:10:06 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2942732	=HYPERLINK(N43)	
U	S3048119	12F/14F	1,166萬元	1,166萬元	2年	1房1廳	19.44坪	19.44坪	無	三和硯 新北市三重區-自強路三段	三和硯景觀溫馨屋	Sun Apr 10 10:10:08 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048119	=HYPERLINK(N44)	
U	S3048039	12F/14F	1,166萬元	1,166萬元	2年	1房1廳	19.44坪	19.44坪	無	三和硯 新北市三重區-自強路三段	三和國中捷運景觀雅緻屋	Sun Apr 10 10:10:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048039	=HYPERLINK(N45)	
U	S3009324	2F/15F	1,050萬元	1,050萬元	10個月	2房2廳	25.05坪	25.05坪	無	新北市三重區-仁政街	^^蒲陽和峰^^	Sun Apr 10 10:10:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009324	=HYPERLINK(N46)	
U	S3009384	10F/12F	1,188萬元	1,188萬元	21年	2房1廳	22.91坪	22.91坪	無	新北市三重區-福德南路	台北橋華廈方正2房	Sun Apr 10 10:10:13 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009384	=HYPERLINK(N47)	
U	S3009309	6F/12F	938萬元	938萬元	19年	2房2廳	19.03坪	19.03坪	無	新北市三重區-龍門路	~~中懋龍門~~	Sun Apr 10 10:10:15 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009309	=HYPERLINK(N48)	
U	S3008559	10F/10F	1,150萬元	1,150萬元	7年	2房1廳	32.41坪	32.41坪	平面式停車位，已含售金內	台北High客 新北市三重區-集仁街	家樂福小豪宅	Sun Apr 10 10:10:16 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3008559	=HYPERLINK(N49)	
U	S2983939	6F/7F	1,180萬元	1,180萬元	2年	2房2廳	27.81坪	27.81坪	機械式停車位，已含售金內	樹學園 新北市三重區-中正北路	稀有面公園獨戶電梯2房車~綸	Sun Apr 10 10:10:21 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2983939	=HYPERLINK(N50)	
U	S2999088	13F/17F	998萬元	998萬元	18年	3房1廳	17.11坪	17.11坪	無	台北橋花園大廈 新北市三重區-中央南路	首購族最愛台北橋捷運站面河景挑高夾層三房	Sun Apr 10 10:10:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2999088	=HYPERLINK(N51)	
U	S3013213	1F/2F	1,120萬元	1,120萬元	52年	1房1廳	16.2坪	16.2坪	無	新北市三重區-正義北路	★公園一樓◇	Sun Apr 10 10:10:23 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3013213	=HYPERLINK(N52)	
U	S3002415	2F/14F	1,200萬元	1,200萬元	18年	2房2廳	30.77坪	30.77坪	機械式停車位，已含售金內	成功大第 新北市三重區-成功路	成功路~溫馨小家庭~~2房+車位~^^~	Sun Apr 10 10:10:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3002415	=HYPERLINK(N53)	
U	S3013210	4F/7F	1,068萬元	1,068萬元	17年	3房2廳	26.79坪	26.79坪	無	新北市三重區-仁昌街	下殺屋主急了★麥當勞華廈◇077G	Sun Apr 10 10:10:26 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3013210	=HYPERLINK(N54)	
U	S3048802	2F/27F	988萬元	988萬元	17年	2房2廳	28.6坪	28.6坪	無	佳昌大都會 新北市三重區-成功路	(107)低總價電梯邊間2房	Sun Apr 10 10:10:27 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048802	=HYPERLINK(N55)	
