
S	S3110724	12F/13F	1,158萬元	1,158萬元	20年	2房2廳	23.11坪	23.11坪	無	摩登天下 台北市文山區-木柵路二段	便宜賣啦~市中心成家電梯兩房~中信小丞	Wed May 04 15:10:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3110724	=HYPERLINK(N37)	Wed May 04 22:26:09 PDT 2016	
S	S3096707	8F/13F	888萬元	888萬元	11年	1房1廳	12.043坪	12.043坪	無	克麗斯町 台北市文山區-景文街	親友獨家~~本社區最低價!挑高三米六~搶	Wed May 04 15:10:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3096707	=HYPERLINK(N38)	Wed May 04 22:26:09 PDT 2016	
S	S3058809	5F/5F	1,100萬元	1,100萬元	31年	開放式格局	27.951坪	27.951坪	無	台北市文山區-興隆路三段	住商仁愛光復店~萬芳醫院美頂家	Wed May 04 15:10:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3058809	=HYPERLINK(N39)	Wed May 04 22:26:09 PDT 2016	
S	S3090520	12F/15F	850萬元	850萬元	21年	1房1廳	14.48坪	14.48坪	無	南方藝述宮殿 台北市文山區-辛亥路四段	藍天綠能的家~大安區的鄰居~辛亥捷運旁	Wed May 04 15:10:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3090520	=HYPERLINK(N40)	Wed May 04 22:26:09 PDT 2016	
S	S3113479	4F/4F	950萬元	950萬元	39年	2房2廳	15.94坪	15.94坪	無	台北市文山區-景興路	景美捷運低總價2房	Wed May 04 15:10:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3113479	=HYPERLINK(N41)	Wed May 04 22:26:09 PDT 2016	
S	S3096474	2F/4F	1,150萬元	1,150萬元	40年	3房2廳	21.93坪	21.93坪	無	台北市文山區-興隆路四段	興隆靜巷邊間方正三房	Wed May 04 15:10:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3096474	=HYPERLINK(N42)	Wed May 04 22:26:09 PDT 2016	
S	S3090151	2F/4F	1,190萬元	1,190萬元	38年	2房2廳	21.01坪	21.01坪	無	興隆路四段 台北市文山區-興隆路四段	狀元成家二樓	Wed May 04 15:10:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3090151	=HYPERLINK(N43)	Wed May 04 22:26:09 PDT 2016	
S	S3108485	3F/4F	1,180萬元	1,180萬元	40年	3房2廳	21.4坪	21.4坪	無	台北市文山區-興隆路四段	~溫馨住家~方正三房,生活機能超好	Wed May 04 15:10:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3108485	=HYPERLINK(N44)	Wed May 04 22:26:09 PDT 2016	
S	S3062192	2F/4F	1,190萬元	1,190萬元	38年	2房2廳	21.01坪	21.01坪	無	台北市文山區-興隆路四段	大降價！再興超美裝潢二樓美寓	Wed May 04 15:10:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062192	=HYPERLINK(N45)	Wed May 04 22:26:09 PDT 2016	
S	S3092507	6F/13F	1,180萬元	1,180萬元	12年	1房2廳	13.36坪	13.36坪	無	克麗斯町 台北市文山區-景文街	景美捷運三米六	Wed May 04 15:11:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3092507	=HYPERLINK(N46)	Wed May 04 22:26:09 PDT 2016	
S	S3117151	頂樓加蓋/4F	950萬元	950萬元	47年	2房2廳	20.12坪	20.12坪	無	台北市文山區-溪口街	小資大空間頂佳(華固新天地旁)	Wed May 04 15:11:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3117151	=HYPERLINK(N47)	Wed May 04 22:26:09 PDT 2016	
S	S3094158	8F/17F	1,200萬元	1,200萬元	20年	1房1廳	26.17坪	26.17坪	機械式停車位，已含售金內	觀星台北 台北市文山區-木柵路二段	新婚,小資族,別懷疑想撿便宜,免服務費,	Wed May 04 15:11:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094158	=HYPERLINK(N48)	Wed May 04 22:26:09 PDT 2016	
S	S3095824	12F/18F	888萬元	888萬元	20年	開放式格局	14.8坪	14.8坪	無	南方藝術宮殿 台北市文山區-辛亥路四段	單身貴族時尚精緻~小豪宅	Wed May 04 15:11:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3095824	=HYPERLINK(N49)	Wed May 04 22:26:09 PDT 2016	
S	S3017528	3F/6F	899萬元	899萬元	24年	1房1廳	13.51坪	13.51坪	無	美麗殿 台北市文山區-羅斯福路六段	萬隆捷運站套房華廈	Wed May 04 15:11:02 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3017528	=HYPERLINK(N50)	Wed May 04 22:26:09 PDT 2016	
