
N	S3087375	30F/36F	1,088萬元	1,088萬元	19年	4房2廳	39.23坪	39.23坪	無	江山萬里 新北市汐止區-新台五路二段	專任江山4房裝潢景觀視野101讚新台五路	Tue May 03 16:22:14 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3087375	=HYPERLINK(N38)	
N	S3062093	12F/20F	1,068萬元	1,068萬元	19年	3房2廳	27.29坪	27.29坪	無	台北水都 新北市汐止區-工建路	水都景觀成家三房鄰新南港御璟(台灣舒涵)	Tue May 03 16:22:15 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062093	=HYPERLINK(N39)	
N	S3087383	11F/14F	1,170萬元	1,170萬元	7年	2房2廳	24.58坪	24.58坪	無	新南港雙站 新北市汐止區-工建路	2043 印象巴黎新南港雙站2房	Tue May 03 16:22:15 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3087383	=HYPERLINK(N40)	
N	S3038662	17F/17F	1,188萬元	1,188萬元	18年	3房2廳	32.2坪	32.2坪	平面式停車位，已含售金內	Me時代 新北市汐止區-建成路	就是要這個FU	Tue May 03 16:22:16 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038662	=HYPERLINK(N41)	
N	S3062090	12F/20F	1,068萬元	1,068萬元	18年	3房2廳	27.29坪	27.29坪	無	台北水都 新北市汐止區-工建路	工建路三房近樟樹大同路中興路福德	Tue May 03 16:22:17 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062090	=HYPERLINK(N42)	
N	S3073129	5F/9F	888萬元	888萬元	18年	3房1廳	24.91坪	24.91坪	無	少年家 新北市汐止區-樟樹二路	電梯華廈採光3房	Tue May 03 16:22:17 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3073129	=HYPERLINK(N43)	
N	S3028340	2F/7F	958萬元	958萬元	22年	3房2廳	28.16坪	28.16坪	無	明峰華廈 新北市汐止區-明峰街	明峰湖前仰大湖旁低公設華廈3房	Tue May 03 16:22:18 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3028340	=HYPERLINK(N44)	
N	S2930581	4F/14F	938萬元	938萬元	7年	2房2廳	22.69坪	22.69坪	無	長堤 新北市汐止區-福德一路	長堤兩房屋主自售,免付服務費，省超多。	Tue May 03 16:22:18 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2930581	=HYPERLINK(N45)	
N	S3114304	2F/7F	998萬元	998萬元	21年	3房2廳	28.1坪	28.1坪	無	世貿親家 新北市汐止區-樟樹一路	低總價樟樹華廈三房~新婚首選~台灣謝宇婷	Tue May 03 16:22:19 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114304	=HYPERLINK(N46)	
N	S3075785	11F/14F	1,170萬元	1,170萬元	7年	2房2廳	24.58坪	24.58坪	無	新南港雙站 新北市汐止區-工建路	新南港高樓景觀雅緻裝潢小品2房屋	Tue May 03 16:22:19 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075785	=HYPERLINK(N47)	
N	S3114301	4F/14F	1,098萬元	1,098萬元	19年	3房2廳	37.7坪	37.7坪	平面式停車位，已含售金內	城市公園 新北市汐止區-樟樹二路	低總價精裝美3房+車位	Tue May 03 16:22:20 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114301	=HYPERLINK(N48)	
N	S3084828	6F/14F	1,198萬元	1,198萬元	21年	3房2廳	34.99坪	34.99坪	平面式停車位，已含售金內	大山圓 新北市汐止區-福德二路	大三圓社區三房車位0981270311	Tue May 03 16:22:21 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084828	=HYPERLINK(N49)	
N	S3072199	3F/10F	998萬元	998萬元	19年	3房2廳	27.584坪	27.584坪	無	薄荷社區 新北市汐止區-汐碇路	遠雄購物城旁《薄荷社區》綠意山景悠閒自在	Tue May 03 16:22:21 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072199	=HYPERLINK(N50)	
N	S3114257	整棟/3F	1,200萬元	1,200萬元	45年	4房2廳	20.2坪	20.2坪	無	三合社區 新北市汐止區-合順街	低總價透天厝	Tue May 03 16:22:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114257	=HYPERLINK(N51)	
N	S3073041	8F/24F	1,100萬元	1,100萬元	21年	3房2廳	31.67坪	31.67坪	無	宏國大鎮 新北市汐止區-大同路二段	逢低撿便宜《宏國Ａ棟》面汐止國小亮麗３房	Tue May 03 16:22:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3073041	=HYPERLINK(N52)	
P	S3084777	4F/5F	985萬元	985萬元	30年	3房2廳	30.91坪	30.91坪	無	公寓 新北市汐止區-樟樹一路	樟樹學區公寓0981270311	Tue May 03 16:22:23 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084777	=HYPERLINK(N53)	
N	S3114250	3F/7F	1,100萬元	1,100萬元	19年	3房2廳	28.41坪	28.41坪	無	濱湖大城 新北市汐止區-湖前街	【出價就談】湖前華廈裝潢三房~車位可租	Tue May 03 16:22:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114250	=HYPERLINK(N54)	
N	S3084738	9F/11F	980萬元	980萬元	22年	3房2廳	36.53坪	36.53坪	無	新北市汐止區-保一街	汐止美景一樓	Tue May 03 16:22:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084738	=HYPERLINK(N55)	
N	S3066082	1F/5F	1,189萬元	1,189萬元	34年	開放式格局	27.9坪	27.9坪	無	不明 新北市汐止區-汐萬路二段	近學校交通便利格局方正採光佳門口方便停車	Tue May 03 16:22:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3066082	=HYPERLINK(N56)	
N	S3032019	22F/25F	1,060萬元	1,060萬元	21年	2房2廳	28.99坪	28.99坪	機械式停車位，已含售金內	潤泰陽光新廈 新北市汐止區-莊敬街	莊敬！連興！汐科潤泰新廈景觀裝潢2房車位	Tue May 03 16:22:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3032019	=HYPERLINK(N57)	
N	S3062011	12F/20F	1,068萬元	1,068萬元	18年	3房2廳	27.29坪	27.29坪	無	台北水都 新北市汐止區-工建路	水都景觀成家三房鄰大同路中興路-王君昊	Tue May 03 16:22:26 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062011	=HYPERLINK(N58)	
P	S3069736	3F/4F	998萬元	998萬元	18年	3房2廳	55.307坪	55.307坪	平面式停車位，已含售金內	馥記山莊 新北市汐止區-秀山路	低總價買空氣好的馥記明亮上疊	Tue May 03 16:22:27 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3069736	=HYPERLINK(N59)	
P	S3062005	4F/5F	948萬元	948萬元	27年	3房2廳	36.29坪	36.29坪	無	新北市汐止區-三民街	近東湖-大湖科學園區旁交通便利	Tue May 03 16:22:27 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062005	=HYPERLINK(N60)	
N	S3075709	1F/4F	980萬元	980萬元	19年	3房2廳	25.65坪	25.65坪	無	博市 新北市汐止區-伯爵街	【出價就談】伯市一樓大空間三房	Tue May 03 16:22:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075709	=HYPERLINK(N61)	
N	S3053481	8F/24F	1,146萬元	1,146萬元	21年	3房2廳	31.675坪	31.675坪	無	宏國大鎮 新北市汐止區-大同路二段	宏國面汐小★景觀三房★	Tue May 03 16:22:28 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3053481	=HYPERLINK(N62)	
N	S3097191	11F/14F	1,170萬元	1,170萬元	7年	2房2廳	24.58坪	24.58坪	無	新南港雙站 新北市汐止區-工建路	聯合報新南港時尚2房	Tue May 03 16:22:29 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097191	=HYPERLINK(N63)	
N	S3086224	8F/24F	1,120萬元	1,120萬元	21年	3房2廳	31.67坪	31.67坪	無	宏國大鎮 新北市汐止區-大同路二段	宏國優質三房-王君昊	Tue May 03 16:22:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086224	=HYPERLINK(N64)	
N	S3077623	17F/18F	1,168萬元	1,168萬元	17年	3房2廳	47.57坪	47.57坪	無	茄苳華城 新北市汐止區-茄苳路	忠孝東路旁茄苳華城大三房車位便宜釋出	Tue May 03 16:22:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077623	=HYPERLINK(N65)	
N	S3076299	11F/14F	1,170萬元	1,170萬元	7年	2房1廳	24.58坪	24.58坪	無	新南港雙站 新北市汐止區-工建路	工建路～新南港雙站景觀裝潢二房	Tue May 03 16:22:31 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3076299	=HYPERLINK(N66)	
N	S3091228	4F/18F	1,198萬元	1,198萬元	16年	3房2廳	47.58坪	47.58坪	無	茄苳華城 新北市汐止區-茄苳路	忠孝東路口～車站～茄苳華城超值三房	Tue May 03 16:22:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3091228	=HYPERLINK(N67)	
P	S3066045	2F/5F	1,089萬元	1,089萬元	36年	3房2廳	29.57坪	29.57坪	無	不明 新北市汐止區-明峰街	稀有二樓出售格局方正採光佳交通便利地段佳	Tue May 03 16:22:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3066045	=HYPERLINK(N68)	
N	S2992735	6F/32F	858萬元	858萬元	17年	2房2廳	43.224坪	43.224坪	平面式停車位，已含售金內	摩天鎮 新北市汐止區-大同路三段	摩天鎮101景觀美美大2房坡平車	Tue May 03 16:22:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2992735	=HYPERLINK(N69)	
N	S3009585	8F/25F	880萬元	880萬元	20年	2房2廳	25.359坪	25.359坪	無	日出印象 新北市汐止區-新台五路二段	印象景觀大二房汐止車站學區房新婚成家最讚	Tue May 03 16:22:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009585	=HYPERLINK(N70)	
P	S3092245	3F/5F	910萬元	910萬元	35年	3房2廳	26.75坪	26.75坪	無	新北市汐止區-原興路	黃金三樓公寓鄰中興路福德一路-王君昊	Tue May 03 16:22:35 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3092245	=HYPERLINK(N71)	
N	S3084692	3F/19F	1,080萬元	1,080萬元	20年	2房2廳	37.97坪	37.97坪	平面式停車位，已含售金內	山青水秀 新北市汐止區-水源路二段	2036 山青水秀2+1房車位	Tue May 03 16:22:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084692	=HYPERLINK(N72)	
P	S3115775	4F/5F	850萬元	850萬元	30年	3房2廳	29坪	29坪	無	新北市汐止區-大同路一段	大同路一段精美3房2廳2衛近南港東湖	Tue May 03 16:22:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3115775	=HYPERLINK(N73)	
N	S3063587	12F/16F	998萬元	998萬元	19年	2房2廳	24.99坪	24.99坪	無	世電社區 新北市汐止區-福德二路	世電101景觀二房~{出價可談}	Tue May 03 16:22:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3063587	=HYPERLINK(N74)	
N	S3097147	12F/16F	1,188萬元	1,188萬元	17年	4房2廳	28.67坪	28.67坪	無	萬事OK 新北市汐止區-原興路	麥當勞樓上~電梯挑高4房	Tue May 03 16:22:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097147	=HYPERLINK(N75)	
